id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
371,2026-01-25,602,17,11,4,-,-,
375,09-19-25,1358,80,4,10,,63.40,
389,12/01/2026,581,53,13,12,216.28,,
396,10-16-25,588,51,3,6,1353.44,309.33,
402,15/08/2025,1721,63,8,5,405.99,71.04,
406,2025/09/22,1393,7,15,3,1384.51,194.90,
408,19-10-2025,1694,5,3,4,"458,92",97.55,
417,2025/10/07,60,35,8,1,620.81,90.95,
432,2025-02-01,1557,62,3,5,-,207.90,
434,20-03-2025,2333,51,2,6,-,17.35,
451,26-03-2025,1809,51,12,9,516.00,42.02,
454,13/07/2025,1449,53,14,9,"605,84",129.93,
457,28/10/2025,2597,48,14,12,436.02,77.71,
459,2025/07/09,135,12,12,11,"1.350,74",320.20,
465,2025/09/25,1929,79,3,5,"1.945,13",332.26,
469,2025-12-14,273,38,13,1,1207.61,103.23,
472,11-13-25,473,15,8,11,0.00,31.72,
475,2025-02-27,405,56,8,10,725.33,78.35,
479,02-05-26,2034,65,5,7,931.56,"138,27",
501,10-05-25,1703,66,4,11,310.65,73.03,
504,15-06-2025,2703,61,12,7,,-,
508,23/05/2025,1415,75,5,1,1028.33,253.52,
521,,2939,14,6,11,1998.20,"398,18",
523,2025-03-22,938,47,9,10,-,,
546,18/09/2025,683,18,12,7,,,
553,01-07-26,2446,1,10,12,-,207.12,
554,2025-01-30,659,43,4,2,316.37,,
558,2025-11-19,278,14,2,10,"1,329.62","118,69",
562,2026-01-21,1565,32,9,3,1761.04,254.27,
573,2025-12-17,2280,45,11,5,,194.57,
574,2025/02/16,2920,23,15,12,"484,69",73.71,
583,01-19-25,3553,54,12,1,"1,492.56",-,
587,2025/04/24,2692,26,13,2,"1,024.25","67,72",
589,2025/03/22,1709,78,7,3,701.62,41.46,
593,21-06-2025,2395,4,14,6,-,21.01,
597,21-04-2025,2380,32,13,6,278.09,,
603,,1202,15,12,11,1018.98,-,
621,02/07/2025,1361,48,3,7,,19.56,
622,30/09/2025,2019,35,5,2,"297,08",,
623,24-07-2025,1010,41,7,1,"118,23",21.24,
626,07-03-2025,2766,34,15,8,126.30,-,
627,2025-01-23,2276,77,15,11,539.59,75.27,
639,2025-10-15,135,21,15,3,"1,793.33",96.03,
640,17/05/2025,1863,29,13,6,"1,350.54",142.50,
659,16/06/2025,2180,58,12,12,-,263.96,
663,,2679,47,13,4,1753.61,328.92,
674,03-29-25,2057,15,10,2,722.61,62.33,
682,09-11-2025,960,32,15,1,"1.560,81",-,
684,2025/08/27,1741,32,1,10,1867.34,,
688,14/09/2025,1246,1,8,6,1438.09,,
691,2025/09/03,989,1,14,7,"1,392.56",227.37,
699,26-09-2025,2989,29,4,6,176.01,35.67,
703,17/07/2025,629,48,8,4,,59.78,
714,23-11-2025,2028,21,14,12,1513.02,197.69,
715,2026-01-26,765,5,4,2,823.82,-,
759,,1143,68,14,5,,323.94,
760,27-12-2025,1944,8,13,12,,107.19,
766,14/06/2025,962,28,12,1,920.18,48.98,
767,03/01/2026,1765,12,2,10,698.16,138.73,
775,2025/06/08,2127,33,1,1,76.43,"17,42",
777,2025-11-05,1358,11,2,9,"268,61",,
793,2025-01-29,1975,78,14,7,1613.84,"220,24",
798,30-10-2025,1430,13,2,11,332.92,70.56,
804,2026-01-19,1154,13,12,6,,64.72,
815,,698,52,8,12,"1.119,38",246.33,
816,28-01-2026,594,52,8,11,86.63,13.67,
825,23-08-2025,256,29,15,6,1857.80,322.91,
834,2026/02/15,1793,71,9,8,"1.361,35",334.97,
850,10/12/2025,2066,4,7,12,873.87,,
855,17/07/2025,569,15,10,10,"1.411,04","214,76",
884,09/01/2026,2279,60,11,10,1818.38,-,
888,2025-01-31,1313,15,15,9,354.31,"24,00",
895,2025/12/15,1923,57,10,7,1365.73,"96,67",
909,11-12-25,2699,93,12,6,564.64,106.62,
910,02-03-26,409,48,14,2,460.91,,
911,2025/05/05,481,60,6,3,"1.640,83",131.15,
912,2025/06/16,1791,22,9,1,0.00,"228,91",
916,2026-01-23,1556,70,9,12,"1.367,51",126.23,
948,07-12-25,1064,60,9,6,795.71,-,
953,2025-02-21,2371,59,1,10,"740,29",108.83,
954,02-13-26,1778,61,4,9,,,
956,,1316,14,15,5,,16.70,
962,09-18-25,2801,80,1,11,303.23,32.41,
968,2025/05/08,2408,12,7,8,"1,097.20",92.96,
970,2025-03-27,2591,39,14,9,857.93,190.43,
974,01-31-26,1944,38,2,12,855.13,136.61,
984,06-20-25,1483,34,7,1,-,,
994,05-20-25,1408,20,8,9,853.33,,
995,2025-05-10,1564,1,4,8,-,"274,64",
996,09-03-25,1881,1,15,12,965.90,53.98,
1000,22/06/2025,1177,14,3,2,"1.322,87",,
1002,07/04/2025,367,41,3,5,78.43,8.19,
1012,2025-12-11,70,8,10,3,"1.570,27",308.20,
1017,2025/08/19,1198,44,14,7,356.86,"444,80",
1031,23/02/2025,1930,19,14,11,444.53,39.34,
1040,2025-04-05,2243,66,2,6,"1.453,30",284.61,
1045,25/04/2025,1090,1,5,2,"1.264,61",309.76,
1060,24/07/2025,2683,28,11,9,1641.28,114.05,
1062,,2081,79,11,12,1394.96,146.43,
1067,01-03-2025,2344,6,7,11,924.52,"71,92",
1069,02/01/2026,2830,54,4,5,1299.84,"1.670,18",
1073,08-22-25,25,37,14,2,1394.40,156.55,
1079,,266,18,7,1,"772,49",,
1087,2025-12-02,1928,20,15,3,550.12,125.60,
1096,01-02-2025,2625,76,14,8,1155.99,222.91,
1106,2025/10/14,1726,9,9,7,1225.86,"135,70",
1129,2025-11-26,1644,8,15,11,"1,146.39",,
1136,01-07-2025,2641,17,15,3,1260.55,"76,25",
1137,,1475,51,8,6,"1.714,18",350.39,
1138,12/09/2025,5,67,2,3,160.61,25.56,
1139,03-05-2025,1054,13,14,7,68.78,12.87,
1142,,2954,43,10,3,,346.64,
1144,29/04/2025,1548,5,10,1,"1.048,58",144.36,
1161,2025/06/19,1053,34,8,7,748.20,168.54,
1163,2025-04-26,101,17,14,10,"1,258.76",,
1167,01-02-2026,2943,16,7,3,655.89,121.25,
1170,2026-02-06,2541,25,5,2,"484,27","66,97",
1176,2025-03-01,125,52,15,4,"1.515,60",313.42,
1185,,805,43,4,11,-,-,
1188,2025-09-12,1805,4,10,11,"1.968,75",159.54,
1229,11-09-25,1635,71,5,7,117.55,25.73,
1234,2025/09/06,2479,10,13,2,200.03,29.66,
1237,21/04/2025,963,37,1,9,441.99,94.02,
1245,2025-02-13,2887,51,6,12,"1,977.94",407.99,
1248,2025-12-07,2084,44,15,2,,274.95,
1255,2026/02/15,1681,70,10,3,1394.21,110.73,
1262,01-06-2025,2892,30,9,12,-,188.91,
1275,2025-07-15,950,26,4,4,"1,564.84","344,54",
1278,2025/10/08,2948,20,14,2,1269.83,1782.44,
1291,20-01-2026,1223,64,6,4,"1.533,96",,
1292,09-06-2025,2039,56,7,10,748.30,-,
1294,09/11/2025,2047,80,6,1,-,271.05,
1309,2026-02-12,1939,79,6,11,"1,875.65",171.98,
1310,,2465,54,4,4,"1,504.07",221.19,
1317,2025/05/03,1110,33,15,10,"785,10",-,
1319,07-04-25,1688,30,10,5,1194.26,"284,55",
1330,27-01-2026,700,40,5,8,-,,
1353,24-07-2025,2611,78,15,11,1639.04,236.23,
1355,14-10-2025,894,79,1,6,,"47,13",
1356,03-01-2025,1565,60,7,10,"1,060.42",154.15,
1361,12/11/2025,2612,17,1,4,-,39.70,
1386,23/07/2025,2693,57,13,3,,23.84,
1389,,2700,12,7,6,828.00,"74,40",
1402,01-07-25,2923,61,5,10,,152.32,
1414,2025-04-21,1382,23,14,10,,,
1421,,589,36,11,1,"1.341,75",262.06,
1428,16/04/2025,74,65,2,4,"301,48",25.52,
1429,2025-06-11,1515,57,4,2,608.62,,
1430,04/09/2025,288,8,1,3,-,84.91,
1435,02-17-26,2205,53,8,11,1438.41,-,
1442,2026/01/23,1327,31,4,1,70.43,10.52,
1464,05-04-2025,1562,55,5,9,"1,700.23","293,77",
1470,2025-05-29,428,48,15,3,1052.05,"143,50",
1474,2025-07-16,2249,5,14,8,390.94,,
1494,08-08-2025,1165,3,11,10,,87.92,
1507,21-02-2025,2812,41,10,2,,23.17,
1509,2025-01-04,818,24,6,7,"1.172,00",247.96,
1516,31-07-2025,1219,22,8,3,-,128.99,
1517,03/09/2025,3545,40,7,8,1277.67,-,
1519,12-01-2026,1883,46,7,2,,385.84,
1525,08/03/2025,2430,50,13,7,691.62,76.71,
1533,12-17-25,2539,8,13,2,1563.30,355.61,
1538,02-28-25,2885,11,12,5,"1.685,24",142.47,
1550,24/05/2025,595,21,10,10,"1,754.73",-,
1560,2025-10-20,48,31,5,6,,"175,17",
1570,25-02-2025,355,71,8,8,1084.08,106.35,
1573,03-15-25,286,52,4,5,1554.68,180.49,
1576,,1533,43,3,12,1333.28,262.81,
1579,01-08-2025,1599,75,13,12,"1,985.24",346.89,
1582,09-15-25,2179,73,10,9,"1,024.41",253.22,
1591,08/03/2025,1223,21,7,5,668.72,130.43,
1614,01/02/2026,1406,68,13,4,"156,22","14,00",
1621,2025-04-11,846,51,6,10,,,
1636,2025-05-31,1073,27,6,3,1803.64,204.56,
1639,23-11-2025,2998,52,6,2,"1.570,34",142.73,
1648,2025-09-24,1988,70,5,8,"726,98",37.43,
1651,,1735,23,6,12,"51,04",,
1652,26-03-2025,1155,67,5,10,,263.01,
1653,18/09/2025,720,3,12,8,1300.67,287.11,
1663,2025-04-02,828,35,1,6,"1.518,93",102.27,
1682,02-08-2025,1407,43,9,2,1683.85,152.90,
1697,25-06-2025,2801,31,5,8,-,106.82,
1702,,109,31,14,10,,,
1708,24-09-2025,2530,30,1,10,1417.73,256.25,
1718,11/01/2026,2298,66,14,2,"141,94",,
1729,2025/11/07,2564,17,15,1,993.39,188.55,
1731,19-07-2025,2870,77,9,1,-,"309,12",
1732,2025-02-25,2805,38,13,8,1218.96,125.30,
1735,2025-04-27,682,64,3,4,"644,69",-,
1740,11-01-2026,207,7,7,11,-58.64,"10,53",
1742,,2188,76,15,5,"1,573.59",96.31,
1750,2025/04/18,2368,13,11,1,868.12,48.83,
1751,10-20-25,1055,70,7,8,,22.69,
1754,07-09-2025,2989,19,4,2,1737.30,"330,46",
1756,24-01-2026,250,79,7,9,502.92,,
1765,06/01/2026,407,22,6,12,"308,66",18.10,
1768,2025-02-04,2555,20,1,9,"1.457,38",152.10,
1774,12-14-25,2941,24,10,2,,315.30,
1776,2025-11-15,994,70,12,1,732.73,"73,74",
1784,21/11/2025,1266,73,13,4,1731.06,"169,21",
1789,08/07/2025,831,59,6,10,"1.961,38",159.37,
1790,2025-04-19,2174,4,2,11,,"28,93",
1791,05-16-25,2354,15,8,12,680.71,"96,08",
1805,2026/01/26,178,75,9,1,1644.36,275.42,
1815,2025/09/17,876,15,6,7,378.93,85.12,
1819,2025-11-27,2679,36,14,7,-,97.50,
1825,02-06-2025,2625,19,2,12,1677.09,369.21,
1826,27-03-2025,1359,57,15,12,"1,994.76","497,71",
1829,04/04/2025,338,21,12,1,,12.82,
1830,10/07/2025,861,46,14,1,1597.98,"119,94",
1839,01-21-26,1388,21,10,1,1062.53,,
1845,2025/07/24,934,13,11,6,"152,54",9.80,
1856,13-01-2026,881,64,12,1,1835.13,"125,71",
1857,11-02-2025,733,77,3,10,"1.674,15",291.64,
1858,,2966,61,12,5,,"80,35",
1864,12/03/2025,1093,77,13,5,229.61,34.25,
1869,2025-07-18,1412,13,2,8,856.46,"70,41",
1873,2025/06/19,97,56,3,8,654.91,43.58,
1875,,1292,58,12,5,1319.39,"231,21",
1876,2025-09-14,485,47,11,9,-,"191,74",
1877,10-19-25,2682,33,13,4,"914,29",81.52,
1882,07-10-2025,1539,13,13,3,"1.873,87",,
1886,27/06/2025,1511,11,14,6,"1.494,57",,
1887,07-05-25,2323,72,15,9,1668.00,313.80,
1907,10-29-25,2174,23,4,12,471.48,96.31,
1908,2025-02-08,445,65,8,9,1800.71,"127,31",
1915,2025/08/31,2863,47,9,7,826.09,205.34,
1924,2025-02-21,1227,31,13,3,1044.89,-,
1934,10-10-25,2625,75,3,3,1246.00,112.67,
1937,2026-01-04,1606,13,3,9,1688.54,419.51,
1939,09-24-25,275,2,5,3,"1.709,69",273.88,
1941,2025-10-04,3519,75,10,5,-,"273,28",
1950,2025/11/09,2055,26,7,4,-,,
1955,2025-11-13,1469,68,3,7,212.76,"47,06",
1966,2025/01/25,1391,6,1,5,,,
1975,,2821,72,1,11,813.94,125.76,
1979,14/02/2025,1989,41,7,4,1652.41,,
1989,05-02-25,86,47,1,10,1856.92,401.22,
1992,01-21-25,796,18,13,2,-814.54,179.40,
1998,01-04-2025,305,15,12,8,382.40,45.89,
2016,08/12/2025,2468,47,15,2,"509,65",48.56,
2027,10-30-25,1047,59,10,12,"1.830,31",,
2032,2025-11-09,1995,40,13,10,"52,84",12.68,
2038,2025-03-25,1315,69,6,4,"1.626,92",186.65,
2040,15-07-2025,2372,25,4,8,697.32,,
2041,06-20-25,1113,45,1,11,675.21,129.17,
2044,,1102,45,5,10,,186.70,
2050,05-16-25,1960,32,9,5,533.87,"60,49",
2062,2025/07/16,1069,62,5,10,895.39,"1.579,71",
2067,,2174,12,14,6,1486.50,96.19,
2069,06-19-25,821,13,10,7,1427.05,161.94,
2077,2025-11-22,2598,79,14,6,954.76,56.41,
2078,18/02/2026,2196,79,11,4,136.27,21.46,
2083,,1104,58,3,1,374.87,73.42,
2093,17/03/2025,2348,51,12,2,1430.57,-,
2103,2025-02-08,1200,52,10,1,"679,23",124.45,
2112,26-01-2026,1573,1,2,5,"867,23",62.94,
2123,,1208,42,15,5,1063.39,-,
2142,01-03-26,246,54,5,1,741.86,50.17,
2145,10-02-25,839,79,7,9,1115.04,146.71,
2152,25/11/2025,1726,39,12,2,651.19,"92,19",
2155,06-10-2025,1285,15,12,6,"1,351.02",236.64,
2157,02/10/2025,2697,60,13,1,"540,92","66,92",
2159,01-14-26,1786,24,10,7,"1,360.55",173.08,
2164,11-01-2025,1536,65,1,12,1671.80,-,
2172,2025-09-28,2509,26,12,3,,,
2195,2025-12-17,1995,37,10,7,1406.21,"97,48",
2198,2025-05-25,2316,57,13,12,907.65,91.88,
2229,,787,70,5,4,90.79,16.10,
2230,12-19-25,626,6,11,6,,97.63,
2231,2026/01/18,1053,32,13,10,"1,552.55",370.47,
2236,23/02/2025,343,119,15,7,769.92,"176,76",
2239,2025-08-02,2816,51,13,6,1808.87,235.88,
2248,12-19-25,1076,77,2,8,889.44,,
2253,2025-06-11,2673,62,15,5,"1,991.18","370,34",
2254,09-14-25,1884,9,14,4,"1.100,00",-,
2272,,2725,71,1,6,,"269,23",
2276,22/06/2025,954,43,8,9,"797,92","102,31",
2291,2026-02-02,1448,30,15,9,1766.77,424.78,
2299,,1431,65,3,11,"885,13","132,39",
2303,08-30-25,3897,59,9,10,"870,38",174.23,
2320,17-01-2025,1815,35,6,3,1820.43,"108,17",
2325,2025/08/31,2516,80,12,1,740.23,150.27,
2326,2025/07/02,2995,54,4,11,785.42,171.41,
2330,2025/06/03,1253,31,13,10,,74.16,
2335,01-01-2025,1706,67,10,1,"1,875.62",430.70,
2345,2025/05/17,239,71,4,5,,195.22,
2359,,2326,73,9,4,-,"188,42",
2363,08-21-25,1500,47,1,5,"1,204.53",117.60,
2370,,2242,5,14,1,"1.651,55","282,79",
2377,20-01-2026,1969,3,10,10,"1.944,74",410.99,
2378,22/10/2025,693,80,10,6,"0,00",283.41,
2384,2026/01/12,1116,21,9,3,-,69.03,
2404,03-03-25,1489,19,4,9,927.21,221.11,
2417,15-07-2025,448,36,3,3,,,
2431,01-19-25,203,12,14,1,1701.16,138.43,
2437,2025-04-30,1602,26,8,11,1948.11,231.46,
2450,2025-06-02,138,61,3,5,1635.84,,
2453,14-02-2026,428,11,4,1,,,
2457,06-03-25,2220,45,15,11,"270,23",-,
2473,,3628,47,8,5,1973.62,,
2480,03-16-25,2291,14,2,3,"376,58","24,68",
2509,16-02-2025,2354,59,4,11,"244,81",13.71,
2510,2025/01/01,227,57,5,10,1115.67,1426.98,
2518,05/09/2025,2156,19,3,4,1297.70,135.43,
2520,21-09-2025,2959,1,9,10,"1.653,47","387,41",
2525,2025-12-19,2419,38,12,8,"1,954.77",123.19,
2529,2025/09/30,2761,31,2,7,"1.022,59",169.93,
2530,02-14-25,802,7,8,5,688.04,54.65,
2564,,1701,31,7,5,-,100.64,
2573,,962,62,14,12,364.54,28.39,
2581,24-09-2025,877,46,8,2,-,304.52,
2583,2025-06-28,133,29,11,2,-,452.07,
2593,24/03/2025,694,66,12,11,"1,885.00",,
2600,17/07/2025,1665,78,4,2,"1.766,99",341.71,
2601,07-19-25,876,75,5,11,"1,097.86",116.80,
2613,03-27-25,1084,3,11,8,875.07,115.93,
2622,27-11-2025,1499,53,9,8,-,238.96,
2623,2026/01/14,2819,77,11,7,901.12,"70,84",
2634,31/01/2026,2171,44,9,10,906.81,108.47,
2642,2025-11-29,158,25,7,2,67.54,-,
2672,2025-04-03,2202,38,6,7,,252.47,
2694,06-02-2026,300,28,13,5,"997,27",198.96,
2725,05-01-2025,947,64,6,7,,140.15,
2743,09-27-25,2978,49,11,10,-,302.50,
2751,2025/02/17,2846,19,11,8,,"206,55",
2759,21-10-2025,2096,78,5,8,1263.06,218.24,
2768,,2933,24,6,10,"1.869,22",-,
2770,2025-03-21,2282,52,13,10,700.92,116.95,
2772,02-13-26,347,34,9,3,0.00,68.31,
2775,13/11/2025,2283,65,10,4,974.73,"124,54",
2792,05-30-25,1384,49,3,2,744.14,"86,40",
2800,,2092,39,7,7,72.67,4.00,
2801,15-07-2025,146,46,12,8,339.10,68.52,
2813,01-10-2025,1514,40,4,7,,68.25,
2814,,1191,21,14,9,"543,64",,
2832,2025-09-18,2151,44,8,12,719.94,,
2849,24/12/2025,951,34,1,6,1957.01,,
2850,27-04-2025,904,16,7,8,"281,48","69,65",
2853,09/01/2025,2289,64,9,11,1763.34,,
2865,2025/02/25,1067,76,4,1,-110.84,21.87,
2866,02-05-26,1268,26,7,5,,"239,02",
2868,14/04/2025,1138,74,11,3,-,,
2869,,2916,63,10,11,583.95,32.72,
2870,25-04-2025,2963,56,14,5,-,311.51,
2880,2025-02-13,2205,68,2,6,"1,743.43",242.94,
2886,2025/09/18,678,33,6,10,"1.820,64",425.92,
2887,06-01-2026,3548,7,10,10,790.81,48.11,
2895,08-02-25,17,79,8,2,440.94,66.14,
2898,06-01-2026,1536,80,14,4,"388,38",,
2901,2025/11/17,2097,48,13,6,"1,493.57",116.15,
2907,06-22-25,1261,46,7,12,"706,76",82.59,
2910,10-24-25,2011,19,7,4,,"64,70",
2911,10-03-2025,611,7,6,1,286.09,19.22,
2913,2025/08/16,378,12,7,3,1627.08,,
2915,01-12-25,1933,10,4,9,"1.164,99",116.94,
2917,2025-08-24,1260,101,12,6,"0,00",41.12,
2928,24-07-2025,1506,69,5,9,,"276,85",
2939,26/01/2026,139,61,8,2,1688.29,373.53,
2950,12-12-2025,1818,67,11,10,,"154,33",
2956,07-02-2026,2427,37,2,6,,112.60,
2976,16-02-2026,2336,68,7,8,"1,397.70",263.76,
2979,2025-07-14,1510,34,9,4,-,300.37,
2980,2026-01-17,1345,53,7,11,,"265,55",
2992,07/07/2025,1346,4,15,2,0.00,"150,78",
2994,14/02/2025,2707,79,10,12,1442.43,178.88,
2999,2025/01/18,2058,73,6,8,,219.58,
3011,2025-02-14,2143,70,11,3,"1,776.08",-,
3020,2025/04/13,159,21,14,9,1795.67,-,
3021,08-26-25,2536,14,11,8,358.56,36.98,
3027,26-12-2025,1414,80,10,8,289.37,"42,15",
3031,2025/06/26,1272,26,15,6,646.46,-,
3040,,851,2,1,12,428.58,"75,35",
3042,17/06/2025,2894,63,4,11,"1,852.61",,
3045,04-08-2025,2517,68,1,4,320.41,,
3064,08-21-25,2830,56,10,1,"1.290,45",313.64,
3073,2025-04-08,2593,3,13,11,1979.48,304.62,
3098,27/01/2026,210,94,3,3,,190.41,
3111,01-02-26,531,16,5,3,706.17,139.70,
3112,28-03-2025,3850,55,3,6,-,-,
3118,2025/10/08,109,38,13,8,"1.017,75",,
3119,02-06-25,2370,12,4,10,415.04,,
3132,19-01-2025,2679,7,10,7,941.97,143.73,
3141,10-12-25,2197,28,1,4,487.93,29.38,
3148,21-01-2025,1606,27,6,8,"1,579.83",,
3150,18-01-2025,675,7,14,12,"1,840.02",154.14,
3161,02/08/2025,2174,52,8,4,"1,934.54",203.45,
3163,2025-11-28,271,10,1,7,"913,89",158.18,
3164,2025/02/22,136,33,1,11,"1,669.91",176.01,
3167,2025-11-09,2681,4,11,1,1910.18,-,
3174,17-04-2025,1182,3,11,6,,36.78,
3180,03-12-2025,1179,73,7,1,,"186,01",
3193,09-11-2025,2464,20,8,3,"1.588,19","106,70",
3198,08/12/2025,1692,22,3,10,"1,096.63","93,53",
3210,02-17-25,218,55,3,4,704.77,"120,97",
3212,2025/10/25,1672,15,14,3,"947,67",90.17,
3213,12-19-25,1222,22,7,6,1367.82,"227,41",
3214,,1112,77,2,6,,114.15,
3215,02-08-25,1557,41,6,1,1667.11,"315,65",
3216,31/01/2025,1238,65,11,7,"1,877.80","455,98",
3232,06-10-2025,2860,20,5,6,"1.063,34","117,59",
3237,2025-01-14,451,30,12,3,1497.53,295.37,
3247,16/01/2026,701,27,6,5,"1,050.56",209.52,
3249,2025/01/18,1463,12,9,12,,-,
3251,2025/10/16,1620,94,4,4,1011.75,164.58,
3261,,1125,2,5,3,"1.455,06",138.26,
3271,2026-02-02,2449,37,8,6,,194.17,
3274,2025/07/06,566,9,6,8,-,190.16,
3279,09-01-25,1928,7,4,7,185.94,39.33,
3287,,186,35,15,8,"1.086,63",84.87,
3288,2025-10-12,2744,58,12,3,"911,47","184,36",
3304,06-08-25,1678,72,14,8,"1.994,40",102.16,
3310,13/12/2025,880,16,12,5,,26.11,
3315,11/09/2025,1894,22,15,7,,"250,80",
3333,2026/01/03,1245,8,6,11,-,-,
3339,2025-10-17,1223,35,1,7,"1.922,52",,
3353,2026/02/05,200,11,9,7,1439.09,355.08,
3364,06-16-25,1936,37,11,9,706.08,92.41,
3366,27/02/2025,396,31,8,6,,130.62,
3371,15-04-2025,1270,20,3,9,"1.168,74",136.67,
3387,2025-08-28,524,17,5,8,"364,35",,
3396,09-29-25,2445,73,6,8,87.92,6.44,
3432,2025/01/04,2638,39,5,7,-,"404,12",
3434,2025/07/01,1807,29,11,11,585.57,660.89,
3435,,2977,33,3,3,209.45,"33,89",
3438,12/07/2025,1274,76,10,9,-,"86,13",
3444,2025-09-13,2900,52,10,7,1895.53,"244,00",
3459,2025/04/19,2475,120,6,2,,288.46,
3461,2025/07/22,2003,15,3,4,,-,
3476,09-28-25,2913,60,5,12,1579.89,298.16,
3479,07-02-2025,887,43,3,9,,130.92,
3486,2025/02/28,561,28,14,8,,"461,73",
3489,29-05-2025,1160,54,13,4,"1,430.43",132.66,
3494,10-08-2025,1209,76,11,4,,,
3495,15-07-2025,1548,65,11,7,787.22,47.76,
3497,,1714,7,4,6,881.68,75.96,
3498,07-26-25,792,20,11,10,723.38,170.16,
3500,,1465,71,4,10,800.79,166.21,
3502,2025/08/29,2731,76,13,3,1323.97,109.72,
3510,30/08/2025,550,32,5,3,1365.41,340.40,
3511,2025/09/28,1935,36,15,11,349.06,"85,24",
3514,2025-05-17,834,22,14,7,-,381.81,
3523,09-08-25,503,27,7,12,"668,79","139,94",
3540,2025/09/09,458,23,8,8,"1,017.79",74.35,
3547,02-20-25,2365,16,15,4,,"98,37",
3548,23/01/2026,3807,60,7,11,609.15,145.05,
3554,,2447,50,4,7,106.07,11.52,
3569,2025-10-09,1498,76,3,5,1253.88,123.02,
3587,2026-01-06,2379,64,13,8,-,264.66,
3600,17/09/2025,265,20,10,5,"782,39",194.25,
3610,26/07/2025,1794,55,2,2,,77.43,
3618,2026-01-19,3748,55,14,8,959.67,90.12,
3620,2026/01/22,1478,41,14,1,"1,816.20",326.69,
3621,,2728,57,6,5,417.18,58.25,
3627,,1465,42,5,4,"609,03",,
3629,01-07-2025,868,46,9,4,"1,894.89",327.31,
3635,05-01-2025,1150,21,5,1,"1,069.31",90.90,
3643,03-05-2025,2266,33,9,9,1621.18,216.98,
3645,2025-07-18,95,17,9,9,"1.376,76",122.88,
3647,2025/09/10,2037,24,1,8,-,-,
3656,2025/09/23,1520,27,4,3,444.12,-,
3673,19/02/2026,2208,74,12,9,"1,571.58","271,50",
3676,23-12-2025,531,19,9,10,969.55,89.36,
3684,02-07-2025,650,63,2,8,911.78,128.40,
3699,2025/02/01,1776,15,15,9,781.20,"98,19",
3702,2025/11/12,2903,68,14,6,937.13,"184,07",
3710,09-28-25,1955,18,14,7,"310,99",,
3713,2025-03-17,1068,39,10,8,"991,90",148.21,
3728,12-28-25,595,67,11,8,-,-,
3730,2025-02-13,660,66,14,9,-,,
3733,08-31-25,2523,63,13,3,"1.004,77",-,
3734,06-09-2025,1117,52,11,12,874.10,"160,46",
3739,18-02-2025,250,33,2,12,"1,545.27","375,56",
3744,16/11/2025,1978,64,8,12,149.72,32.02,
3746,03/05/2025,1196,44,10,3,,17.52,
3747,04-04-25,2263,60,11,4,,"123,38",
3753,19/02/2026,989,45,2,9,1966.93,275.51,
3754,23-01-2025,890,42,15,6,"1.848,67",-,
3756,,125,19,5,11,-,432.54,
3760,09-06-2025,2822,5,1,8,303.76,,
3767,22/03/2025,1300,4,11,10,-,-,
