id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
100,24052,,2.34267,,fecha_error
102,8858,,5155.2,Cerrado,fecha_error
103,19170,,10183.94,,fecha_error
104,1153,,2580.4,,fecha_error
106,2501,,511.1,Abierto,fecha_error
107,17613,,11560.34,,fecha_error
108,1500,,,Abierto,"fecha_error,monto_error"
109,9413,,4.3566,Cerrado,fecha_error
110,16745,,8484.21,Abierto,fecha_error
111,2641,,11886.43,Cerrado,fecha_error
112,6548,,13134.7,Cerrado,fecha_error
113,8649,,10126.28,Abierto,fecha_error
115,24834,,12189.58,Abierto,fecha_error
116,8222,,,Abierto,"fecha_error,monto_error"
117,12941,2025-12-12,,Abierto,monto_error
118,21719,,,Abierto,"fecha_error,monto_error"
119,1874,,5171.14,,fecha_error
120,21805,,12403.48,Abierto,fecha_error
121,3645,,13084.42,Rechazado,fecha_error
122,16832,,7489.48,,fecha_error
123,8567,,5749.7,Rechazado,fecha_error
124,4535,,9389.56,,fecha_error
125,17509,,1154.08,Cerrado,fecha_error
126,13007,,13629.62,Rechazado,fecha_error
127,424,,1595.62,Cerrado,fecha_error
128,24167,,,,"fecha_error,monto_error"
129,8836,,1652.79,Abierto,fecha_error
130,14357,,,Rechazado,"fecha_error,monto_error"
131,21837,,13932.1,,fecha_error
132,1290,,9918.51,,fecha_error
133,5720,,,Abierto,"fecha_error,monto_error"
134,7223,,,Abierto,"fecha_error,monto_error"
135,24992,,302.32,Abierto,fecha_error
136,9670,,6.04015,Cerrado,fecha_error
137,23959,,13295.74,Cerrado,fecha_error
138,22384,,9.05184,Abierto,fecha_error
139,21305,,12134.64,Rechazado,fecha_error
140,21427,,12.52296,Abierto,fecha_error
141,25512,,8366.08,Abierto,fecha_error
142,14587,,,Abierto,"fecha_error,monto_error"
143,2790,2025-10-13,,Rechazado,monto_error
144,7956,,8822.7,Abierto,fecha_error
145,5744,,3902.65,Abierto,fecha_error
147,3192,,9549.21,Cerrado,fecha_error
148,9556,,,Cerrado,"fecha_error,monto_error"
149,9146,,2981.78,Abierto,fecha_error
151,2464,,3627.56,Cerrado,fecha_error
153,7402,,,Abierto,"fecha_error,monto_error"
154,11333,,,,"fecha_error,monto_error"
155,17654,,13419.79,,fecha_error
157,22187,,4984.64,Cerrado,fecha_error
158,8637,,12772.25,Rechazado,fecha_error
161,12821,,1663.96,,fecha_error
162,17558,,2904.94,Abierto,fecha_error
163,3344,,,Cerrado,"fecha_error,monto_error"
164,3953,,14622.5,Cerrado,fecha_error
165,3478,,5.98933,Cerrado,fecha_error
166,3400,,11123.38,,fecha_error
167,19661,,5398.38,Cerrado,fecha_error
168,6501,,3552.32,Cerrado,fecha_error
169,23178,,4944.75,Cerrado,fecha_error
170,14794,,,Abierto,"fecha_error,monto_error"
171,6401,,13.25853,Rechazado,fecha_error
172,10449,,3349.56,Abierto,fecha_error
174,25761,,9433.77,Rechazado,fecha_error
176,14992,,7840.46,Abierto,fecha_error
177,15938,,13797.55,,fecha_error
178,22497,,12.18869,Cerrado,fecha_error
179,12699,,1.45235,,fecha_error
180,13273,,14255.51,,fecha_error
181,3779,,2915.04,Abierto,fecha_error
182,6051,,4.0836,Abierto,fecha_error
183,15820,,,Rechazado,"fecha_error,monto_error"
185,23960,,2485.0,Cerrado,fecha_error
186,14257,2026-01-14,,Abierto,monto_error
187,17116,,8263.06,Rechazado,fecha_error
188,9285,,3554.71,,fecha_error
189,11691,,,Abierto,"fecha_error,monto_error"
190,15565,,,Abierto,"fecha_error,monto_error"
193,19056,2025-12-02,,Abierto,monto_error
194,13685,,8942.15,Abierto,fecha_error
195,3021,,1043.99,Rechazado,fecha_error
196,4434,,1158.74,Cerrado,fecha_error
197,5812,,12.80656,,fecha_error
198,3833,,9.01627,Rechazado,fecha_error
199,15158,,,Abierto,"fecha_error,monto_error"
201,10253,,,,"fecha_error,monto_error"
202,6793,2025-08-30,,Cerrado,monto_error
203,21133,,4564.31,Rechazado,fecha_error
204,11440,,,Rechazado,"fecha_error,monto_error"
205,15065,,14726.41,Cerrado,fecha_error
207,10666,,10303.63,Abierto,fecha_error
208,5006,,4.50493,Cerrado,fecha_error
209,16837,,11810.11,,fecha_error
210,14034,,12.03608,Cerrado,fecha_error
212,14352,,8.84732,,fecha_error
214,16890,,2780.04,Abierto,fecha_error
216,8726,,4.34645,,fecha_error
217,14431,,2.51093,Abierto,fecha_error
219,25727,,,Cerrado,"fecha_error,monto_error"
220,2535,,5.00106,Abierto,fecha_error
221,2986,,9139.78,Cerrado,fecha_error
222,13632,,14814.18,Cerrado,fecha_error
223,2629,,3.64277,,fecha_error
224,19260,,5466.39,Abierto,fecha_error
225,19366,,851.04,,fecha_error
226,12950,,2683.64,Cerrado,fecha_error
228,9398,,,Abierto,"fecha_error,monto_error"
229,16087,,5.95736,Cerrado,fecha_error
230,19159,,1517.87,Cerrado,fecha_error
231,16670,,12582.5,Rechazado,fecha_error
232,3014,,9726.96,Cerrado,fecha_error
233,11033,,9170.56,Abierto,fecha_error
234,16501,,,,"fecha_error,monto_error"
235,23798,,10657.43,Abierto,fecha_error
236,22678,2025-11-11,,Abierto,monto_error
237,24184,,13713.94,,fecha_error
238,19973,,,Rechazado,"fecha_error,monto_error"
239,22979,,,Cerrado,"fecha_error,monto_error"
240,15810,,,Rechazado,"fecha_error,monto_error"
242,10437,,14596.52,Rechazado,fecha_error
243,9965,,4275.37,,fecha_error
244,3256,,,Abierto,"fecha_error,monto_error"
245,5447,,14.46474,Abierto,fecha_error
246,11329,,11681.88,Abierto,fecha_error
247,23410,,8598.25,,fecha_error
248,11871,,804.82,Cerrado,fecha_error
249,18003,,14986.14,,fecha_error
250,2158,,,Abierto,"fecha_error,monto_error"
251,21022,2025-07-18,,Rechazado,monto_error
252,2267,,12762.64,Abierto,fecha_error
253,1765,,10785.64,Abierto,fecha_error
254,22116,,5059.14,Cerrado,fecha_error
256,1939,,7149.72,,fecha_error
257,15563,,7905.89,Cerrado,fecha_error
258,7251,,35956.0,Abierto,fecha_error
259,19809,,10058.57,Cerrado,fecha_error
260,17781,,14206.04,,fecha_error
261,9851,,1092.58,Rechazado,fecha_error
262,17232,,,Abierto,"fecha_error,monto_error"
263,6744,,8.22853,Abierto,fecha_error
264,13686,,,Abierto,"fecha_error,monto_error"
265,217,,3763.55,Abierto,fecha_error
266,18359,,11.32678,Rechazado,fecha_error
267,13995,,6273.55,,fecha_error
268,18702,,5803.93,Abierto,fecha_error
269,20302,,12935.03,,fecha_error
270,21104,,8284.25,Abierto,fecha_error
271,16423,,12.53138,,fecha_error
272,11306,,6748.93,Abierto,fecha_error
273,14467,,2855.89,Abierto,fecha_error
274,22521,,6246.09,,fecha_error
275,19524,,10334.68,Abierto,fecha_error
276,24025,,12873.15,Cerrado,fecha_error
277,4835,,10216.4,,fecha_error
278,12350,,2215.15,,fecha_error
279,8178,,10418.51,Rechazado,fecha_error
280,3145,,2.9351,,fecha_error
282,11387,,5370.01,Cerrado,fecha_error
283,17276,,8841.01,,fecha_error
284,4685,,11406.08,Abierto,fecha_error
285,17418,,5091.35,Abierto,fecha_error
286,14149,,7.31129,Abierto,fecha_error
287,17519,,2.86986,Rechazado,fecha_error
288,19817,,2.32109,Abierto,fecha_error
289,2525,,6583.18,Cerrado,fecha_error
290,23857,,3302.24,Cerrado,fecha_error
291,367,,9606.53,,fecha_error
293,10362,,8.07752,,fecha_error
294,21932,,9926.07,Abierto,fecha_error
295,11353,,566.0,Abierto,fecha_error
296,2362,2026-01-11,,Rechazado,monto_error
297,7821,,3.56643,Cerrado,fecha_error
298,6809,,1486.47,,fecha_error
300,13999,,331.95,Abierto,fecha_error
301,19710,,1.42402,Cerrado,fecha_error
302,22748,,5352.07,,fecha_error
303,1719,,,Abierto,"fecha_error,monto_error"
304,2036,,8381.86,Cerrado,fecha_error
305,13740,,,Abierto,"fecha_error,monto_error"
306,11979,,3782.57,,fecha_error
307,9896,,9098.49,,fecha_error
309,22223,,11.93928,Cerrado,fecha_error
310,18660,,7735.22,,fecha_error
313,12886,,,Abierto,"fecha_error,monto_error"
314,6169,2025-08-08,,Cerrado,monto_error
316,19243,,2098.28,,fecha_error
318,18504,,14001.5,Cerrado,fecha_error
319,4709,,,Cerrado,"fecha_error,monto_error"
320,17508,,8.64045,Abierto,fecha_error
321,15003,,4359.69,Abierto,fecha_error
322,19178,,10770.63,Abierto,fecha_error
323,17082,,11204.61,,fecha_error
327,8526,,13905.74,Rechazado,fecha_error
328,19746,,6693.43,Abierto,fecha_error
329,23344,,10541.76,Abierto,fecha_error
330,13177,2025-03-09,,,monto_error
331,16704,,,,"fecha_error,monto_error"
333,21160,,6.11637,Abierto,fecha_error
334,12046,,2537.12,Abierto,fecha_error
335,12406,,319.52,Cerrado,fecha_error
336,23055,2025-12-29,,,monto_error
337,15288,,4.48508,,fecha_error
338,13062,,,,"fecha_error,monto_error"
339,8768,,2863.49,Abierto,fecha_error
340,4853,,8.01606,Abierto,fecha_error
341,21940,,11.85107,,fecha_error
342,5070,,6723.23,,fecha_error
343,25543,,4.5643,Cerrado,fecha_error
344,9611,,2147.03,Cerrado,fecha_error
345,5702,,10398.23,Abierto,fecha_error
346,16953,,14629.39,Cerrado,fecha_error
347,18616,,,Cerrado,"fecha_error,monto_error"
348,3786,,3.56435,,fecha_error
349,18539,,-4.68476,Cerrado,fecha_error
351,4779,,,Cerrado,"fecha_error,monto_error"
353,21230,2025-10-14,,Abierto,monto_error
354,23874,,12544.63,Rechazado,fecha_error
355,23407,2025-08-09,,Cerrado,monto_error
357,3742,,,,"fecha_error,monto_error"
359,12112,,2073.55,Abierto,fecha_error
360,24056,,7083.76,Rechazado,fecha_error
361,16268,,13927.17,Abierto,fecha_error
362,18426,,,Abierto,"fecha_error,monto_error"
363,21311,,9959.61,Abierto,fecha_error
365,18228,,13973.16,Cerrado,fecha_error
368,14823,,1629.44,Abierto,fecha_error
369,15818,,434.28,Abierto,fecha_error
370,20114,,5559.03,Abierto,fecha_error
372,941,,10846.29,Abierto,fecha_error
373,16241,,2754.6,Cerrado,fecha_error
374,24381,,,Abierto,"fecha_error,monto_error"
375,3784,,6.27859,Cerrado,fecha_error
377,19938,,-3081.44,Abierto,fecha_error
378,4586,,2051.08,Abierto,fecha_error
379,19394,,4337.43,Cerrado,fecha_error
380,19177,2025-11-20,,,monto_error
381,18189,,,Cerrado,"fecha_error,monto_error"
382,13149,,5788.34,,fecha_error
383,3726,,,Cerrado,"fecha_error,monto_error"
385,3696,,2099.51,,fecha_error
386,20394,2026-01-19,,,monto_error
388,8625,,4076.28,,fecha_error
389,21668,,11042.25,Abierto,fecha_error
390,840,,10747.46,Abierto,fecha_error
391,24690,,5736.62,,fecha_error
392,20920,,1035.65,Cerrado,fecha_error
393,19824,,,,"fecha_error,monto_error"
396,986,,8896.66,Abierto,fecha_error
397,22624,,6819.88,Cerrado,fecha_error
398,10478,,7566.63,Abierto,fecha_error
399,1386,,1160.69,Abierto,fecha_error
401,12559,,,Rechazado,"fecha_error,monto_error"
403,9469,,3.66472,Cerrado,fecha_error
404,4048,,,,"fecha_error,monto_error"
405,17081,,13.44595,Abierto,fecha_error
406,13593,,1225.41,Cerrado,fecha_error
407,15499,,,Abierto,"fecha_error,monto_error"
408,15018,,13987.17,,fecha_error
409,4598,,14385.55,Abierto,fecha_error
410,20008,,90844.0,,fecha_error
411,15930,,,Abierto,"fecha_error,monto_error"
413,15474,,11665.1,Cerrado,fecha_error
415,10705,,4.37208,,fecha_error
416,1066,,2268.69,Rechazado,fecha_error
417,24940,,11978.74,Abierto,fecha_error
418,19027,,,Abierto,"fecha_error,monto_error"
420,15208,,14567.87,Rechazado,fecha_error
421,5615,,9.7449,,fecha_error
422,9973,,5901.69,Abierto,fecha_error
423,11261,,,Abierto,"fecha_error,monto_error"
424,11599,,2.65634,Cerrado,fecha_error
425,6477,,11168.31,Abierto,fecha_error
426,24821,,9.78635,Cerrado,fecha_error
427,19205,,8.9615,,fecha_error
428,20511,,1.74182,,fecha_error
430,9420,,14797.54,Rechazado,fecha_error
431,16556,,,Cerrado,"fecha_error,monto_error"
432,3991,,12934.03,Cerrado,fecha_error
433,13660,,4257.18,Rechazado,fecha_error
434,9923,,10300.58,Cerrado,fecha_error
435,15659,,,,"fecha_error,monto_error"
436,4058,,13.14269,,fecha_error
437,23431,,9923.03,Rechazado,fecha_error
438,20439,,,Cerrado,"fecha_error,monto_error"
439,23475,,,,"fecha_error,monto_error"
440,16397,,8.35938,Rechazado,fecha_error
441,22684,,10554.36,Rechazado,fecha_error
442,25876,,14722.0,Rechazado,fecha_error
444,23715,,2.74813,,fecha_error
445,7801,2025-01-27,,Rechazado,monto_error
446,849,,966.15,,fecha_error
448,13756,,8492.99,Cerrado,fecha_error
449,10005,,9876.19,Abierto,fecha_error
450,18661,,2919.02,Rechazado,fecha_error
451,3111,,12498.73,Cerrado,fecha_error
454,18671,,14655.73,,fecha_error
455,11674,2025-05-22,,Cerrado,monto_error
456,6812,,10.45709,,fecha_error
457,4234,2025-10-22,,Rechazado,monto_error
458,22894,,13379.41,,fecha_error
459,19084,,11662.9,,fecha_error
460,9557,,11367.71,,fecha_error
461,9517,,,,"fecha_error,monto_error"
462,1370,,2238.16,Rechazado,fecha_error
463,1315,,9.40353,Cerrado,fecha_error
464,7665,,6095.66,Abierto,fecha_error
465,4729,,13763.87,Cerrado,fecha_error
466,19556,,92956.0,Cerrado,fecha_error
467,12477,,12448.85,Cerrado,fecha_error
468,7145,,9748.24,Rechazado,fecha_error
470,7885,,9856.68,Cerrado,fecha_error
472,4686,,7740.48,Abierto,fecha_error
474,12213,,,,"fecha_error,monto_error"
475,13039,,,,"fecha_error,monto_error"
476,4147,,,Rechazado,"fecha_error,monto_error"
477,23464,,4.56133,Rechazado,fecha_error
478,15010,,11687.78,Abierto,fecha_error
479,4770,,,Cerrado,"fecha_error,monto_error"
480,23674,,19204.0,,fecha_error
481,5991,,,Rechazado,"fecha_error,monto_error"
483,1067,,5.41194,,fecha_error
484,10177,,9795.3,Rechazado,fecha_error
485,23236,,9341.17,,fecha_error
486,16519,,4527.06,Cerrado,fecha_error
488,7922,2025-08-05,,Abierto,monto_error
489,6169,,10359.49,Cerrado,fecha_error
490,9596,,-6745.26,,fecha_error
491,10798,,11866.01,Cerrado,fecha_error
495,3898,,12.25539,,fecha_error
496,9321,,59785.0,Abierto,fecha_error
497,17866,,5018.42,,fecha_error
498,16934,,6.66581,,fecha_error
500,24173,,6.63352,Rechazado,fecha_error
501,1935,,9456.55,Abierto,fecha_error
503,13990,,4.63432,Cerrado,fecha_error
504,12911,,12735.57,Abierto,fecha_error
505,9535,,13.92133,Rechazado,fecha_error
506,23610,,,,"fecha_error,monto_error"
507,14126,,7410.93,,fecha_error
508,11505,,4336.27,,fecha_error
509,9632,,11512.22,,fecha_error
510,24704,,,Abierto,"fecha_error,monto_error"
511,9290,,2170.06,,fecha_error
512,25808,,1956.2,Abierto,fecha_error
513,19811,,,Abierto,"fecha_error,monto_error"
514,749,,,Abierto,"fecha_error,monto_error"
515,7931,,7142.51,Abierto,fecha_error
517,19123,,,Rechazado,"fecha_error,monto_error"
518,5192,,,Cerrado,"fecha_error,monto_error"
519,2775,,11906.59,Abierto,fecha_error
520,17065,,8.46437,Abierto,fecha_error
521,2027,,2008.92,Abierto,fecha_error
522,8459,,5956.22,Abierto,fecha_error
524,3266,,,Abierto,"fecha_error,monto_error"
525,9683,,4540.67,Cerrado,fecha_error
526,6685,,96571.0,Cerrado,fecha_error
527,17205,,12224.81,Cerrado,fecha_error
528,21844,,1897.7,,fecha_error
529,1551,,12.58402,Cerrado,fecha_error
531,16681,,,Cerrado,"fecha_error,monto_error"
532,13554,,10.45723,Rechazado,fecha_error
533,1400,,778.9,Abierto,fecha_error
534,13893,,2203.47,Abierto,fecha_error
535,17558,,77573.0,Cerrado,fecha_error
536,1687,,8216.35,Abierto,fecha_error
537,10763,,6960.69,Cerrado,fecha_error
539,15629,,62903.0,Abierto,fecha_error
540,24874,,6239.3,Rechazado,fecha_error
541,17082,,12640.91,,fecha_error
543,22193,,,,"fecha_error,monto_error"
544,13123,,8.41973,Abierto,fecha_error
545,14630,,965.14,Cerrado,fecha_error
546,2269,,6320.76,Cerrado,fecha_error
547,18971,,13821.43,Abierto,fecha_error
548,320,,6.63652,,fecha_error
549,10771,,-9024.61,Abierto,fecha_error
550,25667,,3.598,Abierto,fecha_error
551,21438,,5836.89,Abierto,fecha_error
552,2165,,11024.33,Cerrado,fecha_error
553,21888,,3112.17,Cerrado,fecha_error
554,25784,2025-05-10,,Cerrado,monto_error
556,6947,,,Abierto,"fecha_error,monto_error"
557,6868,,5.32591,Cerrado,fecha_error
558,21780,,10.75361,Cerrado,fecha_error
559,24920,,,,"fecha_error,monto_error"
560,3151,,-1744.2,Abierto,fecha_error
561,8177,,3376.64,Cerrado,fecha_error
562,15715,,4.47951,Cerrado,fecha_error
564,21307,,11816.47,Rechazado,fecha_error
565,19612,,,Rechazado,"fecha_error,monto_error"
566,7229,,8102.59,Rechazado,fecha_error
567,21236,,542.33,,fecha_error
568,7634,,,,"fecha_error,monto_error"
570,25508,,9919.76,Cerrado,fecha_error
571,354,,11.6243,Rechazado,fecha_error
573,5994,,8.06422,Cerrado,fecha_error
574,21648,2025-06-23,,Cerrado,monto_error
575,17032,,6.00623,Cerrado,fecha_error
576,20005,,3.66061,Abierto,fecha_error
577,9416,,7281.78,Abierto,fecha_error
580,21031,,14.72612,Abierto,fecha_error
581,17730,,6180.21,,fecha_error
583,15892,,9.32333,Rechazado,fecha_error
584,7265,,,,"fecha_error,monto_error"
585,2185,,14.34709,Cerrado,fecha_error
586,5064,,3427.67,Cerrado,fecha_error
587,22918,,2427.43,,fecha_error
588,9780,,12340.44,Abierto,fecha_error
589,23761,,1722.65,Cerrado,fecha_error
590,1390,,5100.16,Cerrado,fecha_error
591,24753,,9.24395,Abierto,fecha_error
592,11961,,8976.92,,fecha_error
593,25605,,6324.53,,fecha_error
594,24598,,2947.86,Rechazado,fecha_error
595,16802,,,Cerrado,"fecha_error,monto_error"
596,20730,,-13047.91,Abierto,fecha_error
597,22326,,11586.97,,fecha_error
598,15220,,263.87,Rechazado,fecha_error
599,20491,,567.78,Cerrado,fecha_error
600,25582,,13159.89,,fecha_error
601,12091,2025-03-02,,Abierto,monto_error
603,17985,,14180.71,Abierto,fecha_error
604,1034,,7672.14,,fecha_error
605,24391,,,Cerrado,"fecha_error,monto_error"
607,7941,,2490.28,,fecha_error
608,24323,,5670.57,Abierto,fecha_error
609,13678,,5395.55,Abierto,fecha_error
610,22850,,11563.14,Abierto,fecha_error
611,17162,,,Abierto,"fecha_error,monto_error"
612,3316,,,,"fecha_error,monto_error"
613,22432,,11453.7,Abierto,fecha_error
615,11298,,9282.91,Rechazado,fecha_error
616,6056,,5153.3,Abierto,fecha_error
617,17670,2025-02-03,,Rechazado,monto_error
618,1023,,,Rechazado,"fecha_error,monto_error"
619,3397,,10501.36,Abierto,fecha_error
621,2841,,5695.4,,fecha_error
622,1623,,8.78283,,fecha_error
623,10760,,14910.95,,fecha_error
624,11022,,13.43662,Cerrado,fecha_error
625,24203,2025-06-21,,Rechazado,monto_error
626,22538,,4677.56,Abierto,fecha_error
627,471,,6150.14,Rechazado,fecha_error
628,23681,,,,"fecha_error,monto_error"
629,9818,2025-11-08,,Abierto,monto_error
631,3214,,14084.12,Rechazado,fecha_error
633,5243,,1215.3,Rechazado,fecha_error
634,18267,,6524.1,,fecha_error
635,13335,,2689.49,Cerrado,fecha_error
636,22410,2025-02-21,,,monto_error
637,22494,,8852.96,Abierto,fecha_error
638,19539,,10177.49,Abierto,fecha_error
639,10248,,1516.11,,fecha_error
640,13475,,12.93319,Abierto,fecha_error
641,21496,,8941.22,Abierto,fecha_error
643,4604,,13596.15,Cerrado,fecha_error
644,21088,,5253.85,,fecha_error
645,11915,,8814.08,Cerrado,fecha_error
646,4770,,5803.73,Abierto,fecha_error
647,22110,,,Cerrado,"fecha_error,monto_error"
648,4252,,7.22664,Abierto,fecha_error
649,12061,,8161.32,Abierto,fecha_error
650,24671,,6124.17,Rechazado,fecha_error
651,16433,,10165.98,,fecha_error
652,8973,,,Abierto,"fecha_error,monto_error"
653,8325,,3436.47,,fecha_error
657,23993,,12774.15,Cerrado,fecha_error
658,9973,,7195.36,Rechazado,fecha_error
659,8391,,8.12814,Cerrado,fecha_error
660,24254,,4004.38,Cerrado,fecha_error
661,6981,,,,"fecha_error,monto_error"
662,15605,2025-12-16,,Abierto,monto_error
663,15104,,13252.17,,fecha_error
664,5731,,5577.51,,fecha_error
665,21165,,9060.55,Cerrado,fecha_error
666,10515,,1415.47,,fecha_error
667,22850,,14.33309,Rechazado,fecha_error
668,12401,2025-04-01,,Rechazado,monto_error
669,17465,,1905.81,Abierto,fecha_error
671,9678,,3157.22,,fecha_error
672,18183,,14404.32,,fecha_error
673,12793,,7026.08,Cerrado,fecha_error
674,9099,,5490.56,Abierto,fecha_error
675,4118,,11.46898,,fecha_error
676,25652,,4329.18,,fecha_error
677,19888,,8543.66,Abierto,fecha_error
678,24681,,1097.13,Rechazado,fecha_error
681,6234,2025-10-15,,,monto_error
682,23566,,13.62041,Rechazado,fecha_error
683,23539,,10505.35,Cerrado,fecha_error
684,13740,,13370.29,Cerrado,fecha_error
685,8447,,5431.73,Cerrado,fecha_error
686,20908,,7.23655,,fecha_error
687,15875,,,Rechazado,"fecha_error,monto_error"
688,9946,,10.89334,,fecha_error
689,10280,,10161.02,Cerrado,fecha_error
690,679,,14161.93,Abierto,fecha_error
691,12163,,,Abierto,"fecha_error,monto_error"
693,239,,2.5875,Cerrado,fecha_error
694,16051,,2151.57,Rechazado,fecha_error
696,7945,,7898.62,,fecha_error
697,8619,,11461.41,Abierto,fecha_error
698,18567,,,Cerrado,"fecha_error,monto_error"
699,24920,,2235.03,Rechazado,fecha_error
701,10012,,5662.35,,fecha_error
702,2873,,5.17961,Cerrado,fecha_error
704,13263,2025-11-17,,Cerrado,monto_error
706,2757,,13278.87,Cerrado,fecha_error
707,24991,,7549.29,Abierto,fecha_error
708,25560,,,Rechazado,"fecha_error,monto_error"
709,16266,,,Cerrado,"fecha_error,monto_error"
710,24697,,10893.55,,fecha_error
711,24433,,,Cerrado,"fecha_error,monto_error"
712,24680,,13399.7,Cerrado,fecha_error
715,23754,,10.14118,Abierto,fecha_error
717,17888,2025-06-29,,,monto_error
718,7795,,12.1694,Abierto,fecha_error
720,24674,,1668.36,Abierto,fecha_error
721,21605,,10947.61,Cerrado,fecha_error
722,17682,,10999.55,Abierto,fecha_error
723,24857,,508.97,Cerrado,fecha_error
724,23742,,8822.98,Cerrado,fecha_error
725,9321,,7.24432,,fecha_error
726,20483,,,Rechazado,"fecha_error,monto_error"
727,25607,,9.08417,Abierto,fecha_error
728,19693,,2934.75,,fecha_error
729,4497,,336.98,Abierto,fecha_error
730,16114,,,Abierto,"fecha_error,monto_error"
732,20771,,3214.48,Abierto,fecha_error
734,906,,3.32844,,fecha_error
735,10034,,325.07,,fecha_error
737,8626,,8378.93,Cerrado,fecha_error
738,21149,,12608.36,,fecha_error
739,25838,,6691.62,Cerrado,fecha_error
740,10643,,,Cerrado,"fecha_error,monto_error"
741,22401,,5135.94,,fecha_error
742,6027,,8073.42,,fecha_error
743,17172,,3761.89,,fecha_error
744,8360,,2.02077,Abierto,fecha_error
745,22996,,1381.36,Cerrado,fecha_error
746,10464,2025-02-09,,Cerrado,monto_error
748,20797,,5210.91,Abierto,fecha_error
749,14183,,8218.95,Cerrado,fecha_error
750,7697,,5.38056,Abierto,fecha_error
751,19485,,11.16995,,fecha_error
753,1456,,3016.99,Cerrado,fecha_error
754,6917,,14564.02,,fecha_error
755,11416,,4159.67,Abierto,fecha_error
756,14767,,,,"fecha_error,monto_error"
757,19194,,2954.35,Cerrado,fecha_error
758,20407,,,Rechazado,"fecha_error,monto_error"
760,20684,,,,"fecha_error,monto_error"
